writeDate,npType,account,mediaPath,npOriginUrl,npTargetUrl,cpc,searchKeyword1,searchKeyword2,searchKeyword3,searchKeyword4,searchKeyword5,createDate,createTimes
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030623251107109&pn=513&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030623251107109&utm_source=np211221t1vNQ75V,http://bltly.link/HDrOAl8,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030623235608852&pn=513&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030623235608852&utm_source=np211221t1vNQ75V,http://bltly.link/2Q07l2R,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030623100355639&pn=529&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030623100355639&utm_source=np211221t1vNQ75V,http://bltly.link/IfZAH6W,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030623045137690&pn=167&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030623045137690&utm_source=np211221t1vNQ75V,http://bltly.link/bmWXc8v,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030622340044001&pn=82&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030622340044001&utm_source=np211221t1vNQ75V,http://bltly.link/oNetc5C,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030622303504635&pn=529&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030622303504635&utm_source=np211221t1vNQ75V,http://bltly.link/XiawMON,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030622000038669&pn=88&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030622000038669&utm_source=np211221t1vNQ75V,http://bltly.link/BgfuA7Y,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030622011073492&pn=546&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030622011073492&utm_source=np211221t1vNQ75V,http://bltly.link/olJAFdz,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030622013437833&pn=328&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030622013437833&utm_source=np211221t1vNQ75V,http://bltly.link/5jC2uSc,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030621470012622&pn=553&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030621470012622&utm_source=np211221t1vNQ75V,http://bltly.link/dvNiV1E,4,,,,,,,
